No,Animal_ID,Final_result,MERS_RNA_copiesPerml,Bionote_result,Viral Isolation
614,L00011362,Negative,,Negative,Negative
615,L00011361,Negative,,Negative,Negative
616,L00011360,Negative,,Negative,Negative
617,L00011359,Negative,,Negative,Negative
618,L00011358,Negative,,Negative,Negative
619,L00011357,Negative,,Negative,Negative
620,L00011356,Negative,,Negative,Negative
621,L00011355,Negative,,Negative,Negative
622,L00011354,Negative,,Negative,Negative
623,L00011353,Negative,,Negative,Negative
624,L00011352,Negative,,Negative,Negative
625,L00011351,Negative,,Negative,Negative
626,L00011350,Negative,,Negative,Negative
627,L00011349,Negative,,Negative,Negative
628,L00011348,Negative,,Negative,Negative
629,L00011347,Negative,,Negative,Negative
630,L00011346,Negative,,Negative,Negative
631,L00011345,Negative,,Negative,Negative
632,L00011344,Negative,,Negative,Negative
633,L00011343,Negative,,Negative,Negative
634,L00011342,Negative,,Negative,Negative
635,L00011341,Negative,,Negative,Negative
636,L00011340,Negative,,Negative,Negative
637,L00011339,Negative,,Negative,Negative
638,L00011338,Negative,,Negative,Negative
639,L00011337,Negative,,Negative,Negative
640,L00011336,Negative,,Negative,Negative
641,L00011335,Negative,,Negative,Negative
642,L00011334,Negative,,Negative,Negative
643,L00011333,Negative,,Negative,Negative
644,L00011332,Negative,,Negative,Negative
645,L00011331,Negative,,Negative,Negative
646,L00011330,Negative,,Negative,Negative
647,L00011329,Negative,,Negative,Negative
648,L00011328,Negative,,Negative,Negative
649,L00011327,Negative,,Negative,Negative
650,L00011326,Negative,,Negative,Negative
651,L00011325,Negative,,Negative,Negative
652,L00011324,Negative,,Negative,Negative
653,L00011323,Negative,,Negative,Negative
654,L00011322,Negative,,Negative,Negative
655,L00011321,Negative,,Negative,Negative
656,L00011320,Negative,,Negative,Negative
657,L00011319,Negative,,Negative,Negative
658,L00011318,Negative,,Negative,Negative
659,L00011317,Negative,,Negative,Negative
660,L00011316,Negative,,Negative,Negative
661,L00011315,Negative,,Negative,Negative
662,L00011314,Negative,,Negative,Negative
663,L00011313,Negative,,Negative,Negative
664,L00011312,Negative,,Negative,Negative
665,L00011311,Negative,,Negative,Negative
666,L00011310,Negative,,Negative,Negative
667,L00011309,Negative,,Negative,Negative
668,L00011308,Negative,,Negative,Negative
669,L00011307,Negative,,Negative,Negative
670,L00011306,Negative,,Negative,Negative
671,L00011305,Negative,,Negative,Negative
672,L00011304,Negative,,Negative,Negative
673,L00011303,Negative,,Negative,Negative
674,L00011302,Negative,,Negative,Negative
675,L00011301,Negative,,Negative,Negative
676,L00011300,Negative,,Negative,Negative
677,L00011299,Negative,,Negative,Negative
678,L00011298,Negative,,Negative,Negative
679,L00011297,Negative,,Negative,Negative
680,L00011296,Negative,,Negative,Negative
681,L00011295,Negative,,Negative,Negative
682,L00011294,Negative,,Negative,Negative
683,L00011293,Negative,,Negative,Negative
684,L00011292,Negative,,Negative,Negative
685,L00011291,Negative,,Negative,Negative
686,L00011290,Negative,,Negative,Negative
687,L00011289,Negative,,Negative,Negative
688,L00011288,Negative,,Negative,Negative
689,L00011287,Negative,,Negative,Negative
690,L00011286,Negative,,Negative,Negative
691,L00011285,Negative,,Negative,Negative
692,L00011284,Negative,,Negative,Negative
693,L00011283,Negative,,Negative,Negative
694,L00011282,Negative,,Negative,Negative
695,L00011281,Negative,,Negative,Negative
696,L00011280,Negative,,Negative,Negative
697,L00011279,Negative,,Negative,Negative
698,L00011278,Negative,,Negative,Negative
699,L00011277,Negative,,Negative,Negative
700,L00011276,Negative,,Negative,Negative
701,L00011275,Negative,,Negative,Negative
702,L00011274,Negative,,Negative,Negative
703,L00011273,Negative,,Negative,Negative
704,L00011272,Negative,,Negative,Negative
705,L00011271,Negative,,Negative,Negative
706,L00011270,Negative,,Negative,Negative
707,L00011269,Negative,,Negative,Negative
708,L00011268,Negative,,Negative,Negative
709,L00011267,Negative,,Negative,Negative
710,L00011266,Negative,,Negative,Negative
711,L00011265,Negative,,Negative,Negative
712,L00011264,Negative,,Negative,Negative
713,L00011263,Negative,,Negative,Negative
714,L00011262,Negative,,Negative,Negative
715,L00011261,Negative,,Negative,Negative
716,L00011260,Negative,,Negative,Negative
717,L00011259,Negative,,Negative,Negative
718,L00011258,Negative,,Negative,Negative
719,L00011257,Negative,,Negative,Negative
720,L00011256,Negative,,Negative,Negative
721,L00011255,Negative,,Negative,Negative
722,L00011254,Negative,,Negative,Negative
723,L00011253,Negative,,Negative,Negative
724,L00011252,Negative,,Negative,Negative
725,L00011251,Negative,,Negative,Negative
726,L00011250,Negative,,Negative,Negative
727,L00011249,Negative,,Negative,Negative
728,L00011248,Negative,,Negative,Negative
729,L00011247,Negative,,Negative,Negative
730,L00011246,Negative,,Negative,Negative
731,L00011245,Negative,,Negative,Negative
732,L00011244,Negative,,Negative,Negative
733,L00011243,Negative,,Negative,Negative
734,L00011242,Negative,,Negative,Negative
735,L00011241,Negative,,Negative,Negative
736,L00011240,Negative,,Negative,Negative
737,L00011239,Negative,,Negative,Negative
738,L00011238,Negative,,Negative,Negative
739,L00011237,Negative,,Negative,Negative
740,L00011236,Negative,,Negative,Negative
741,L00011235,Negative,,Negative,Negative
742,L00011234,Negative,,Negative,Negative
743,L00011233,Negative,,Negative,Negative
744,L00011232,Negative,,Negative,Negative
745,L00011231,Negative,,Negative,Negative
746,L00011230,Negative,,Negative,Negative
747,L00011229,Negative,,Negative,Negative
748,L00011228,Negative,,Negative,Negative
749,L00011227,Negative,,Negative,Negative
750,L00011226,Negative,,Negative,Negative
751,L00011225,Negative,,Negative,Negative
752,L00011224,Negative,,Negative,Negative
753,L00011223,Negative,,Negative,Negative
754,L00011222,Negative,,Negative,Negative
755,L00011221,Negative,,Negative,Negative
756,L00011220,Negative,,Negative,Negative
757,L00011219,Negative,,Negative,Negative
758,L00011218,Negative,,Negative,Negative
759,L00011217,Negative,,Negative,Negative
760,L00011216,Negative,,Negative,Negative
761,L00011215,Negative,,Negative,Negative
762,L00011214,Negative,,Negative,Negative
763,L00011213,Negative,,Negative,Negative
764,L00011212,Negative,,Negative,Negative
765,L00011211,Negative,,Negative,Negative
766,L00011210,Negative,,Negative,Negative
767,L00011209,Negative,,Negative,Negative
768,L00011208,Negative,,Negative,Negative
769,L00011207,Negative,,Negative,Negative
770,L00011206,Negative,,Negative,Negative
771,L00011205,Negative,,Negative,Negative
772,L00011204,Negative,,Negative,Negative
773,L00011203,Negative,,Negative,Negative
774,L00011202,Negative,,Negative,Negative
775,L00011201,Negative,,Negative,Negative
776,L00011200,Negative,,Negative,Negative
777,L00011199,Negative,,Negative,Negative
778,L00011198,Negative,,Negative,Negative
779,L00011197,Negative,,Negative,Negative
780,L00011196,Negative,,Negative,Negative
781,L00011195,Negative,,Negative,Negative
782,L00011194,Negative,,Negative,Negative
783,L00011193,Negative,,Negative,Negative
784,L00011192,Negative,,Negative,Negative
785,L00011191,Negative,,Negative,Negative
786,L00011190,Negative,,Negative,Negative
787,L00011189,Negative,,Negative,Negative
788,L00011188,Negative,,Negative,Negative
789,L00011187,Negative,,Negative,Negative
790,L00011186,Negative,,Negative,Negative
791,L00011185,Negative,,Negative,Negative
792,L00011184,Negative,,Negative,Negative
793,L00011183,Negative,,Negative,Negative
794,L00011182,Negative,,Negative,Negative
795,L00011181,Negative,,Negative,Negative
796,L00011180,Negative,,Negative,Negative
797,L00011179,Negative,,Negative,Negative
798,L00011178,Negative,,Negative,Negative
799,L00011177,Negative,,Negative,Negative
800,L00011176,Negative,,Negative,Negative
801,L00011175,Negative,,Negative,Negative
802,L00011174,Negative,,Negative,Negative
803,L00011173,Negative,,Negative,Negative
804,L00011172,Negative,,Negative,Negative
805,L00011171,Negative,,Negative,Negative
806,L00011170,Negative,,Negative,Negative
807,L00011169,Negative,,Negative,Negative
808,L00011168,Negative,,Negative,Negative
809,L00011167,Negative,,Negative,Negative
810,L00011166,Negative,,Negative,Negative
811,L00011165,Negative,,Negative,Negative
812,L00011164,Negative,,Negative,Negative
813,L00011163,Negative,,Negative,Negative
814,L00011162,Negative,,Negative,Negative
815,L00011161,Negative,,Negative,Negative
816,L00011160,Negative,,Negative,Negative
817,L00011159,Negative,,Negative,Negative
818,L00011158,Negative,,Negative,Negative
819,L00011157,Negative,,Negative,Negative
820,L00011156,Negative,,Negative,Negative
821,L00011155,Negative,,Negative,Negative
822,L00011154,Negative,,Negative,Negative
823,L00011153,Negative,,Negative,Negative
824,L00011152,Negative,,Negative,Negative
825,L00011151,Negative,,Negative,Negative
826,L00011150,Negative,,Negative,Negative
827,L00011149,Negative,,Negative,Negative
828,L00011148,Negative,,Negative,Negative
829,L00011147,Negative,,Negative,Negative
830,L00011146,Negative,,Negative,Negative
831,L00011145,Negative,,Negative,Negative
832,L00011144,Negative,,Negative,Negative
833,L00011143,Negative,,Negative,Negative
834,L00011142,Negative,,Negative,Negative
835,L00011141,Negative,,Negative,Negative
836,L00011140,Negative,,Negative,Negative
837,L00011139,Negative,,Negative,Negative
838,L00011138,Negative,,Negative,Negative
839,L00011137,Negative,,Negative,Negative
840,L00011136,Negative,,Negative,Negative
841,L00011135,Negative,,Negative,Negative
842,L00011134,Negative,,Negative,Negative
843,L00011133,Negative,,Negative,Negative
844,L00011132,Negative,,Negative,Negative
845,L00011131,Negative,,Negative,Negative
846,L00011130,Negative,,Negative,Negative
